Sr,ID,SVG
1,Settings,
2,Build,
3,Integrations,
4,Retail,/files/retails.svg
5,ERPNext Settings,/files/Setting.svg
6,Salespeople,/files/salespeopleandbranches.svg
7,Website,/files/website.svg
8,ERPNext Integrations,/files/Integration.svg
9,Customization,/files/customization.svg
10,Utilities,
11,Users,/files/User.svg
12,Tools,/files/Tools.svg
13,Support,/files/Support.svg
14,Manufacturing,/files/manufacturer.svg
15,Quality,/files/Quality.svg
16,Projects,/files/Project.svg
17,Loans,/files/Loan.svg
18,Tax & Benefits,
19,Salary Payout,
20,Payroll,/files/Payroll.svg
21,Performance,
22,Leaves,
23,Recruitment,
24,Expense Claims,
25,Shift & Attendance,
26,Employee Lifecycle,
27,HR,/files/HrWhiteRed.svg
28,Buying,/files/BuyingWhiteRed.svg
29,Stock,/files/stock.svg
30,Selling,/files/SalesRedWhite.svg
31,CRM,/files/CrmWhiteRed.svg
32,Expenses,/files/ExpensesRedWhite.svg
33,Assets,/files/Assets.svg
34,Accounting,/files/AccountingRedWhite.svg
35,Home,/files/homepage08b992.svg
36,Accounts,
37,Fixed Assets,
38,Inventory,
